id,torque_max_al_kgfm,torque_max_gas_kgfm,torque_m_rpm
271,NA,42.9,2500
272,NA,63.7,4750
273,NA,46,4500
274,NA,55,6500
275,NA,44.9,2900
276,NA,44.9,2900
277,NA,44.9,2900
278,NA,44.9,2900
279,NA,45.9,1600
280,NA,20.4,1500
281,NA,28.5,1800
282,NA,44.9,2900
283,NA,45.4,3500
284,NA,35.7,1500
285,NA,44.9,2900
286,NA,43.9,4500
287,NA,54.1,6500
288,NA,43.8,4000
289,NA,33.7,2500
290,NA,44.9,2900
291,NA,55,3000
292,NA,28.6,1800
293,NA,32.7,1500
294,NA,35.7,1500
295,NA,33.7,3000
296,NA,54.1,6500
297,NA,66.3,1500
298,NA,66.3,1500
299,NA,55,3000
300,NA,35.7,2500
301,NA,35.7,2500
302,NA,35.7,1500
303,NA,33.7,3500
304,NA,32.6,1500
305,NA,33.7,3500
306,NA,33.7,3000
307,NA,42.9,2500
308,NA,42.9,NA
309,NA,35.7,1500
310,NA,33.7,3500
311,NA,36.75,2500
312,NA,28.5,1800
313,NA,28.6,NA
314,NA,28.5,1800
315,NA,15.1,3800
316,NA,33.6,3200
317,NA,28.5,1800
318,NA,33.6,3250
319,NA,33.6,NA
320,NA,44.9,3500
321,NA,23,1950
322,NA,23,1950
323,NA,42.8,3500
324,NA,41.8,3500
325,NA,23,1950
326,NA,23,1950
327,NA,30.6,3200
328,NA,43.8,3500
329,NA,57.1,1950
330,NA,28.5,2200
331,NA,30.6,3200
332,NA,23.4,3200
333,NA,30.6,3200
334,NA,35.7,1800
335,NA,17.3,4200
336,NA,17.3,4200
337,NA,14.8,3800
338,NA,21.4,1750
339,NA,40.8,3000
340,NA,23.4,3200
341,NA,31.6,NA
342,NA,21.4,1750
343,NA,21.4,1750
344,NA,21.4,1750
345,NA,31.6,1700
346,NA,40.8,1850
347,NA,43.8,3400
348,NA,24,1950
349,NA,28.5,2200
350,NA,21.4,1750
351,NA,17.3,4200
352,NA,17.3,4200
353,NA,14.2,3250
354,NA,23.4,3200
355,NA,28.5,3200
356,NA,27.5,2100
357,NA,21.4,1750
358,NA,23.4,3200
359,NA,21.4,1750
360,NA,23.4,3200
361,NA,21.4,1750
362,NA,17.6,4100
363,NA,28.5,3200
364,NA,21.4,1750
365,NA,28.5,3200
366,NA,40.8,3500
367,NA,40.8,3500
368,NA,25.5,3000
369,NA,17.6,3950
370,NA,25.5,3000
371,NA,25,3000
372,NA,22.9,3500
373,NA,25.5,3000
374,NA,17.6,3950
375,NA,25.5,3000
376,NA,40.8,3300
377,NA,41.8,2800
378,NA,25,3000
379,NA,25,3000
380,NA,22.9,3200
381,NA,16.8,3200
382,NA,22.9,3200
383,NA,38.7,2100
384,NA,38.7,NA
385,NA,38.7,2100
386,NA,35.7,1950
387,NA,25,3000
388,NA,14,3600
389,NA,78.5,1960
390,NA,91.8,1250
391,NA,83.6,2000
392,NA,67.3,1700
393,NA,83.6,2000
394,NA,81.6,2000
395,NA,67.3,1700
396,NA,104,1750
397,NA,11.7,NA
398,NA,11.7,3200
399,NA,31.6,NA
400,NA,66.3,NA
401,NA,30.6,NA
402,NA,45.9,NA
403,NA,45.9,NA
404,NA,53,NA
405,NA,76.5,NA
406,NA,76.5,NA
409,NA,30.6,NA
410,NA,30.6,NA
411,NA,30.6,NA
412,NA,30.6,NA
413,NA,66.3,NA
414,NA,66.3,NA
