angulo_central_graus,angulo_de_entrada_graus,angulo_de_saida_graus,rampa_maxima_graus,inclinacao_lateral_maxima_graus,curso_do_pistao_mm,diametro_do_cilindro_mm,altura_do_flanco_mm,altura_mm,bitola_dianteira_mm,bitola_traseira_mm,comprimento_mm,distancia_entre_eixos_mm,largura_mm,vao_livre_do_solo_mm,altura_minima_do_solo_mm,travessia_de_agua_mm,potencia_maxima_rpm,rotacao_de_potencia_maxima_rpm,rotacao_de_torque_maximo_rpm,rotacao_maxima_rpm,potencia_especifica_cv,potencia_maxima_cv,potencia_cv,potencia_combinada_cv,potencia_especifica_cv/litro,peso_potencia_kg/cv,peso_torque_kg/kgfm,torque_especifico_kgfm/litro,peso_potencia_kg,peso_torque_kg,torque_especifico_kg,peso_kg,carga_util_kg,reboque_com_freio_kg,reboque_sem_freio_kg,torque_kg,torque_combinado_kg,consumo_rodoviario_gasolina_km/l,consumo_urbano_gasolina_km/l,consumo_rodoviario_diesel_km/l,consumo_urbano_diesel_km/l,consumo_rodoviario_km/l,consumo_urbano_km/l,consumo_rodoviario_alcool_km/l,consumo_urbano_alcool_km/l,velocidade_maxima_km/h,velocidade_maxima_modo_eletrico_km/h,velocidade_maxima_km,consumo_rodoviario_gasolina_km,consumo_urbano_gasolina_km,autonomia_rodoviaria_gasolina_km,autonomia_urbana_gasolina_km,consumo_rodoviario_diesel_km,consumo_urbano_diesel_km,autonomia_rodoviaria_diesel_km,autonomia_urbana_diesel_km,autonomia_km,consumo_eletrico_km,autonomia_eletrica_km,velocidade_maxima_modo_eletrico_km,consumo_rodoviario_km,consumo_urbano_km,autonomia_rodoviaria_km,autonomia_urbana_km,consumo_rodoviario_alcool_km,consumo_urbano_alcool_km,autonomia_rodoviaria_alcool_km,autonomia_urbana_alcool_km,aceleracao_0_100_km_h_s,cilindrada_cm³,cilindrada_unitaria_cm³,porta_malas_litros,tanque_de_combustivel_litros,porta_malas_5_lugares_litros,porta_malas_7_lugares_litros,porta_malas_6_lugares_litros,diametro_minimo_de_giro_m,diametro_de_giro_m,frenagem_0_100_km_h_m,area_frontal_m²,area_frontal_corrigida_m²,capacidade_de_bateria_kWh,consumo_eletrico_kWh,ID
NA,NA,NA,NA,NA,94.6,82,89,1444,1573,1569,4709,2851,1827,147,NA,NA,184,NA,NA,NA,92.1,184,113,292,92.1,9.5,56.9,15.3,9.5,56.9,15.3,1740,525,750,750,27,42.8,NA,NA,NA,NA,26.4,22,NA,NA,230,140,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.1,66,140,26.4,22,1056,880,NA,NA,NA,NA,5.9,1998,NA,375,40,NA,NA,NA,11.4,NA,NA,2.22,0.599,12,15.1,485
NA,NA,NA,NA,NA,94.6,82,101,1435,1589,1604,4709,2851,1827,136,NA,NA,258,NA,NA,6500,129.1,258,NA,NA,129.1,5.7,36,20.4,5.7,36,20.4,1470,590,1600,750,NA,NA,12.9,10.9,NA,NA,NA,NA,NA,NA,250,NA,250,12.9,10.9,761,643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,1998,NA,365,59,NA,NA,NA,11.5,NA,NA,2.22,0.533,NA,NA,486
NA,NA,NA,NA,NA,94.6,82,89,1435,1589,1604,4709,2851,1827,136,NA,NA,258,NA,NA,6500,129.1,258,NA,NA,129.1,5.7,36,20.4,5.7,36,20.4,1470,590,1600,750,NA,NA,12.9,10.9,NA,NA,NA,NA,NA,NA,250,NA,250,12.9,10.9,761,643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,1998,NA,365,59,NA,NA,NA,11.5,NA,NA,2.22,0.533,NA,NA,487
NA,NA,NA,NA,NA,94.6,82,89,1440,1583,1567,4713,2851,1827,130,NA,NA,387,NA,NA,6500,129.1,387,NA,NA,129.1,4.3,32.7,17,4.3,32.7,17,1670,575,1800,750,NA,NA,11,7,NA,NA,NA,NA,NA,NA,250,NA,250,11,7,649,413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,2998,NA,365,59,NA,NA,NA,12,NA,NA,2.22,0.599,NA,NA,488
NA,NA,NA,NA,NA,88.3,89,96,1479,1621,1618,5260,3210,1902,135,NA,NA,585,NA,NA,NA,88.7,585,NA,NA,88.7,3.8,25.6,13.2,3.8,25.6,13.2,2220,620,NA,NA,NA,NA,7.1,5.2,NA,NA,NA,NA,NA,NA,305,NA,305,7.1,5.2,554,406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,6592,NA,515,78,NA,NA,NA,12.9,NA,NA,2.42,0.726,NA,NA,489
NA,NA,NA,NA,NA,NA,NA,105,1598,1571,1556,4011,2570,1775,140,NA,NA,NA,NA,NA,NA,NA,NA,170,NA,NA,7.32,48.82,NA,7.32,48.82,NA,1245,425,NA,NA,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,335,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,NA,NA,260,NA,NA,NA,NA,9.9,NA,NA,2.38,0.69,42.2,13.1,490
NA,NA,NA,NA,NA,NA,NA,105,1598,1571,1556,4011,2570,1775,140,NA,NA,NA,NA,NA,NA,NA,NA,170,NA,NA,7.32,48.82,NA,7.32,48.82,NA,1245,425,NA,NA,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,335,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,NA,NA,260,NA,NA,NA,NA,9.9,NA,NA,2.38,0.69,42.2,13.1,491
NA,NA,NA,NA,NA,94.6,82,97,1291,1644,1721,4689,2800,1942,117,NA,NA,231,NA,NA,NA,154.1,231,143,374,154.1,6.6,47.1,21.7,6.6,47.1,21.7,1535,385,NA,NA,25.5,42,NA,NA,NA,NA,27.2,24.2,NA,NA,250,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,55,NA,27.2,24.2,816,726,NA,NA,NA,NA,4.4,1499,NA,154,30,NA,NA,NA,12.3,NA,NA,2.15,0.559,11.6,14,492
NA,NA,NA,NA,NA,94.6,82,101,1598,1561,1562,4439,2670,1821,183,NA,NA,231,NA,NA,NA,115.6,231,NA,NA,115.6,6.7,43.1,17.9,6.7,43.1,17.9,1540,600,2000,750,NA,NA,11.4,9.4,NA,NA,NA,NA,8.1,6.6,235,NA,235,11.4,9.4,695,573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1,6.6,494,403,6.5,1998,NA,505,61,NA,NA,NA,11.4,NA,NA,2.47,0.766,NA,NA,493
NA,NA,NA,NA,NA,94.6,82,113,1598,1561,1562,4439,2670,1821,183,NA,NA,192,NA,NA,NA,96.1,192,NA,NA,96.1,7.7,52.1,14.3,7.7,52.1,14.3,1485,590,1800,750,NA,NA,12.1,10,NA,NA,NA,NA,8.4,6.9,225,NA,225,12.1,10,738,610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4,6.9,512,421,7.7,1998,NA,505,61,NA,NA,NA,11.4,NA,NA,2.47,0.741,NA,NA,494
NA,NA,NA,NA,NA,94.6,82,113,1598,1561,1562,4439,2670,1821,183,NA,NA,192,NA,NA,NA,96.1,192,NA,NA,96.1,7.7,52.1,14.3,7.7,52.1,14.3,1485,590,1800,750,NA,NA,12.1,10,NA,NA,NA,NA,8.4,6.9,225,NA,225,12.1,10,738,610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4,6.9,512,421,7.7,1998,NA,505,61,NA,NA,NA,11.4,NA,NA,2.47,0.741,NA,NA,495
NA,NA,NA,NA,NA,94.6,82,101,1526,1575,1572,4360,2670,1824,182,NA,NA,306,NA,NA,6800,153.2,306,NA,NA,153.2,5.3,35.1,23,5.3,35.1,23,1610,580,NA,NA,NA,NA,11.1,8.7,NA,NA,NA,NA,NA,NA,250,NA,250,11.1,8.7,677,531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,1998,NA,470,61,NA,NA,NA,11.3,NA,NA,2.37,0.711,NA,NA,496
NA,NA,NA,NA,NA,94.6,82,106,1543,1563,1562,4360,2670,1824,182,NA,NA,192,NA,NA,NA,96.1,192,NA,NA,96.1,7.6,51.2,14.3,7.6,51.2,14.3,1460,595,1800,750,NA,NA,13.1,10.4,NA,NA,NA,NA,8.8,6.8,225,NA,225,13.1,10.4,668,530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,6.8,449,347,7.7,1998,NA,370,51,NA,NA,NA,11.3,NA,NA,2.37,0.687,NA,NA,497
NA,NA,NA,NA,NA,94.6,82,113,1543,1563,1562,4360,2670,1824,182,NA,NA,192,NA,NA,NA,96.1,192,NA,NA,96.1,7.6,51.2,14.3,7.6,51.2,14.3,1460,595,1800,750,NA,NA,13.1,10.4,NA,NA,NA,NA,8.8,6.8,225,NA,225,13.1,10.4,668,530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,6.8,449,347,7.7,1998,NA,370,51,NA,NA,NA,11.3,NA,NA,2.37,0.687,NA,NA,498
20,25,23.4,NA,NA,90,84,106,1669,1617,1602,4726,2864,1897,206,NA,NA,510,NA,NA,7200,170.4,510,NA,NA,170.4,3.9,32.2,20.4,3.9,32.2,20.4,1970,530,2400,750,NA,NA,8.8,6.8,NA,NA,NA,NA,NA,NA,285,NA,285,8.8,6.8,572,442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,2993,NA,550,65,NA,NA,NA,12.6,NA,NA,2.69,0.968,NA,NA,499
20,25,21.9,NA,NA,90,84,106,1620,1617,1632,4758,2864,1927,NA,NA,NA,510,NA,NA,7200,170.4,510,NA,NA,170.4,3.9,32.2,20.4,3.9,32.2,20.4,1970,530,2400,750,NA,NA,9.5,6.2,NA,NA,NA,NA,NA,NA,285,NA,285,9.5,6.2,618,403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,2993,NA,525,65,NA,NA,NA,12.6,NA,NA,2.64,0.95,NA,NA,500
20.2,25.2,22.3,NA,NA,94.6,82,126,1745,1678,1698,4922,2975,2004,214,NA,NA,286,NA,NA,NA,95.4,286,113,394,95.4,8.5,53.1,15.3,8.5,53.1,15.3,2435,715,2700,750,27,61.2,NA,NA,NA,NA,21.3,20.6,NA,NA,235,135,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5,87,135,21.3,20.6,1470,1421,NA,NA,NA,NA,5.6,2998,NA,500,69,NA,NA,NA,12.6,NA,NA,2.9,0.957,24,23.5,501
17.9,25.1,21.7,NA,NA,94.6,82,95,1696,1678,1688,4935,2975,2004,216,NA,NA,340,NA,NA,6500,113.4,340,NA,NA,113.4,6,44.8,15.3,6,44.8,15.3,2055,670,3500,750,NA,NA,9.6,7.8,NA,NA,NA,NA,NA,NA,250,NA,250,9.6,7.8,797,647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,2998,NA,580,83,NA,NA,NA,12.6,NA,NA,2.83,0.906,NA,NA,502
19.8,25,22.2,NA,NA,88.3,89,138,1805,1684,1705,5151,3105,2000,221,NA,NA,462,NA,NA,NA,105.1,462,NA,NA,105.1,5.5,38.2,15.1,5.5,38.2,15.1,2535,720,2700,750,NA,NA,9,5,NA,NA,NA,NA,NA,NA,250,NA,250,9,5,747,415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,4395,NA,NA,83,750,326,NA,13,NA,NA,2.9,0.986,NA,NA,503
19.8,25,22.2,NA,NA,88.3,89,110,1805,1682,1703,5151,3105,2000,221,NA,NA,530,5500,1800,NA,120.6,530,NA,NA,120.6,4.8,33.4,17.4,4.8,33.4,17.4,2555,730,3500,750,NA,NA,8,4.8,NA,NA,NA,NA,NA,NA,250,NA,250,8,4.8,664,398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,4395,NA,NA,83,750,NA,326,NA,13,NA,3,1.02,NA,NA,504
NA,NA,NA,NA,NA,94.6,82,77,1304,1609,1616,4324,2470,1864,117,NA,NA,258,NA,NA,NA,129.1,258,NA,NA,129.1,5.5,34.7,20.4,5.5,34.7,20.4,1415,325,NA,NA,NA,NA,11.5,9.8,NA,NA,NA,NA,NA,NA,250,NA,250,11.5,9.8,598,510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,1998,NA,281,52,NA,NA,NA,11,NA,NA,2.07,0.6,NA,NA,505
NA,NA,NA,NA,NA,94.6,82,92,1421,1535,1569,4329,2690,1765,140,NA,NA,184,NA,NA,6800,92.1,184,NA,NA,92.1,7.5,50.2,13.8,7.5,50.2,13.8,1380,560,1200,680,NA,NA,12.9,10.6,NA,NA,NA,NA,NA,NA,225,NA,225,12.9,10.6,671,551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,1998,NA,360,52,NA,NA,NA,10.9,NA,NA,2.13,0.66,NA,NA,506
NA,NA,NA,NA,NA,94.6,82,92,1421,1535,1569,4329,2690,1765,140,NA,NA,184,NA,NA,6800,92.1,184,NA,NA,92.1,7.5,50.2,13.8,7.5,50.2,13.8,1380,560,1200,680,NA,NA,12.9,10.6,NA,NA,NA,NA,NA,NA,225,NA,225,12.9,10.6,671,551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,1998,NA,360,52,NA,NA,NA,10.9,NA,NA,2.13,0.66,NA,NA,507
NA,NA,NA,NA,NA,90.1,84,113,1429,1543,1583,4624,2810,1811,140,NA,NA,184,NA,NA,NA,92.1,184,NA,NA,92.1,7.7,51.6,13.8,7.7,51.6,13.8,1420,550,NA,NA,NA,NA,12.8,9.8,NA,NA,NA,NA,8.8,6.7,235,NA,235,12.8,9.8,768,588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,6.7,528,402,7.3,1997,NA,480,60,NA,NA,NA,11.3,NA,NA,2.2,0.594,NA,NA,508
NA,NA,NA,NA,NA,94.6,82,89,1435,1589,1604,4709,2851,1827,136,NA,NA,258,NA,NA,6500,129.1,258,NA,NA,129.1,5.7,36,20.4,5.7,36,20.4,1470,590,1600,750,NA,NA,13,8.5,NA,NA,NA,NA,NA,NA,250,NA,250,13,8.5,767,502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,1998,NA,365,59,NA,NA,NA,11.5,NA,NA,2.22,0.533,NA,NA,509
NA,NA,NA,NA,NA,94.6,82,110,1483,1604,1631,4936,2975,1868,165,NA,NA,184,NA,NA,6800,92.1,184,113,252,92.1,9.6,59.8,14.8,9.6,59.8,14.8,1770,650,NA,NA,25.5,42.8,NA,NA,NA,NA,21.9,20.9,NA,NA,235,NA,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,21.9,20.9,1007,961,NA,NA,NA,NA,6.2,1998,NA,410,46,NA,NA,NA,12,NA,NA,2.35,0.611,9.2,NA,510
NA,NA,NA,NA,NA,94.6,82,96,1479,1605,1630,4936,2975,1868,144,NA,NA,340,NA,NA,7000,113.4,340,NA,NA,113.4,4.7,34.8,15.3,4.7,34.8,15.3,1595,675,2000,750,NA,NA,11.6,8.4,NA,NA,NA,NA,NA,NA,250,NA,250,11.6,8.4,789,571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,2998,NA,390,68,NA,NA,NA,12,NA,NA,2.35,0.588,NA,NA,511
NA,NA,NA,NA,NA,88.3,89,83,1346,1627,1642,4851,2822,1902,128,NA,NA,530,NA,NA,NA,120.6,530,NA,NA,120.6,3.6,24.7,17.4,3.6,24.7,17.4,1890,505,NA,NA,NA,NA,10.5,7.1,NA,NA,NA,NA,NA,NA,250,NA,250,10.5,7.1,714,483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,4395,NA,420,68,NA,NA,NA,11.9,NA,NA,2.22,0.733,NA,NA,512
NA,NA,NA,NA,NA,66,79,105,1598,1571,1556,4011,2570,1775,140,NA,NA,38,NA,NA,NA,58.7,38,170,NA,58.7,35.3,235.1,8.8,35.3,235.1,8.8,1340,395,NA,NA,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,200,11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,647,NA,260,9,NA,NA,NA,9.9,NA,NA,2.38,0.714,27.2,11.5,513
NA,NA,NA,NA,NA,94.6,82,97,1289,1644,1721,4689,2800,1942,115,NA,NA,231,NA,NA,NA,154.1,231,143,374,154.1,6.9,48.9,21.7,6.9,48.9,21.7,1595,305,NA,NA,25.5,42,NA,NA,NA,NA,13.6,11.3,NA,NA,250,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5,53,NA,13.6,11.3,408,339,NA,NA,NA,NA,4.6,1499,NA,88,30,NA,NA,NA,12.3,NA,NA,2.15,0.602,11.6,14.5,514
NA,NA,NA,NA,NA,89.6,84,93,1410,1579,1601,4461,2693,1854,118,NA,NA,410,NA,NA,7500,137.6,410,NA,NA,137.6,3.8,28.1,18.8,3.8,28.1,18.8,1575,435,NA,NA,NA,NA,9.3,7.7,NA,NA,NA,NA,NA,NA,280,NA,280,9.3,7.7,484,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,2979,NA,390,52,NA,NA,NA,11.7,NA,NA,2.21,0.796,NA,NA,515
NA,NA,NA,NA,NA,88.3,89,89,1473,1626,1595,4965,2982,1903,132,NA,NA,600,NA,NA,7300,136.5,600,NA,NA,136.5,3.1,24,17.4,3.1,24,17.4,1834,585,2000,750,NA,NA,8.5,6.5,NA,NA,NA,NA,NA,NA,305,NA,305,8.5,6.5,578,442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,4395,NA,530,68,NA,NA,NA,12.6,NA,NA,2.35,0.752,NA,NA,516
NA,NA,NA,NA,NA,88.3,89,89,1473,1626,1595,4965,2982,1903,132,NA,NA,600,NA,NA,7300,136.5,600,NA,NA,136.5,3.1,24.2,17.4,3.1,24.2,17.4,1855,585,2000,750,NA,NA,8.5,6.5,NA,NA,NA,NA,NA,NA,305,NA,305,8.5,6.5,578,442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,4395,NA,530,68,NA,NA,NA,12.6,NA,NA,2.35,0.752,NA,NA,517
NA,NA,NA,NA,NA,94.6,82,101,1612,1561,1562,4439,2670,1821,183,NA,NA,231,NA,NA,NA,115.6,231,NA,NA,115.6,6.7,43.1,17.9,6.7,43.1,17.9,1540,600,2000,750,NA,NA,11.4,9.4,NA,NA,NA,NA,8.1,6.6,235,NA,235,11.4,9.4,695,573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1,6.6,494,403,6.5,1998,NA,505,61,NA,NA,NA,11.4,NA,NA,2.5,0.775,NA,NA,518
NA,NA,NA,NA,NA,94.6,82,106,1543,1563,1562,4360,2670,1824,182,NA,NA,192,NA,NA,NA,96.1,192,NA,NA,96.1,7.6,51.2,14.3,7.6,51.2,14.3,1460,595,1800,750,NA,NA,13.1,10.4,NA,NA,NA,NA,8.8,6.8,225,NA,225,13.1,10.4,668,530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,6.8,449,347,7.7,1998,NA,370,51,NA,NA,NA,11.3,NA,NA,2.37,0.687,NA,NA,519
NA,NA,NA,NA,NA,94.6,82,113,1543,1563,1562,4360,2670,1824,182,NA,NA,192,NA,NA,NA,96.1,192,NA,NA,96.1,7.6,51.2,14.3,7.6,51.2,14.3,1460,595,1800,750,NA,NA,12.4,10.2,NA,NA,NA,NA,NA,NA,227,NA,227,12.4,10.2,632,520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,1998,NA,370,51,NA,NA,NA,11.3,NA,NA,2.37,0.687,NA,NA,520
NA,NA,NA,NA,NA,94.6,82,113,1543,1563,1562,4360,2670,1824,182,NA,NA,192,NA,NA,NA,96.1,192,NA,NA,96.1,7.6,51.2,14.3,7.6,51.2,14.3,1460,595,1800,750,NA,NA,13.1,10.4,NA,NA,NA,NA,8.8,6.8,225,NA,225,13.1,10.4,668,530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,6.8,449,347,7.7,1998,NA,370,51,NA,NA,NA,11.3,NA,NA,2.37,0.687,NA,NA,521
NA,NA,NA,NA,NA,94.6,82,113,1526,1563,1562,4360,2670,1824,182,NA,NA,136,NA,NA,NA,90.7,136,NA,NA,90.7,11.7,71.1,14.9,11.7,71.1,14.9,1593,590,1700,725,NA,NA,12.5,10.6,NA,NA,NA,NA,8.7,7.4,200,NA,200,12.5,10.6,638,541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.7,7.4,444,377,9.7,1499,NA,370,51,NA,NA,NA,11.3,NA,NA,2.37,0.664,NA,NA,522
NA,NA,NA,NA,NA,94.6,82,110,1676,1620,1636,4708,2864,1891,204,NA,NA,252,NA,NA,6800,126.1,252,NA,NA,126.1,6.8,48,17.9,6.8,48,17.9,1715,670,2000,750,NA,NA,10.5,9.3,NA,NA,NA,NA,NA,NA,240,NA,240,10.5,9.3,683,605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,1998,NA,450,65,NA,NA,NA,12,NA,NA,2.69,0.78,NA,NA,523
20,25,23.4,NA,NA,94.6,82,118,1676,1620,1636,4708,2864,1891,204,NA,NA,184,NA,NA,6800,92.1,184,NA,NA,92.1,9.3,62.4,13.8,9.3,62.4,13.8,1715,670,2000,750,NA,NA,11.5,9.3,NA,NA,NA,NA,NA,NA,215,NA,215,11.5,9.3,690,558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,1998,NA,450,60,NA,NA,NA,12,NA,NA,2.65,0.769,NA,NA,524
20,25,21.9,NA,NA,94.6,82,110,1621,1620,1666,4752,2864,1918,204,NA,NA,252,NA,NA,6800,126.1,252,NA,NA,126.1,6.8,48.2,17.9,6.8,48.2,17.9,1720,680,2000,750,NA,NA,9.4,8,NA,NA,NA,NA,NA,NA,240,NA,240,9.4,8,611,520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,1998,NA,425,65,NA,NA,NA,12.1,NA,NA,2.59,0.777,NA,NA,525
20,25,21.9,NA,NA,94.6,82,96,1621,1615,1624,4752,2864,1938,204,NA,NA,360,NA,NA,6500,120.1,360,NA,NA,120.1,5.1,35.8,17,5.1,35.8,17,1825,605,2000,750,NA,NA,9.9,8.4,NA,NA,NA,NA,NA,NA,250,NA,250,9.9,8.4,644,546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,2998,NA,425,65,NA,NA,NA,12.1,NA,NA,2.59,0.777,NA,NA,526
20.2,25.2,22.3,NA,NA,90,84,95,1745,1666,1685,4922,2975,2004,214,NA,NA,265,NA,NA,NA,88.5,265,NA,NA,88.5,8,33.4,21.1,8,33.4,21.1,2110,750,2700,750,NA,NA,NA,NA,10.6,9.1,NA,NA,NA,NA,230,NA,230,NA,NA,NA,NA,10.6,9.1,848,728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,2993,NA,NA,80,650,150,NA,12.6,NA,NA,2.9,0.899,NA,NA,527
20.2,25.2,22.3,NA,NA,90,84,95,1745,1666,1685,4922,2975,2004,214,NA,NA,265,NA,NA,NA,88.5,265,NA,NA,88.5,8,33.4,21.1,8,33.4,21.1,2110,750,2700,750,NA,NA,NA,NA,10.6,9.1,NA,NA,NA,NA,230,NA,230,NA,NA,NA,NA,10.6,9.1,848,728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,2993,NA,NA,80,650,150,NA,12.6,NA,NA,2.9,0.899,NA,NA,528
20.2,25.2,22.3,NA,NA,90,84,110,1745,1666,1685,4922,2975,2004,214,NA,NA,265,NA,NA,NA,88.5,265,NA,NA,88.5,8,33.4,21.1,8,33.4,21.1,2110,750,2700,750,NA,NA,NA,NA,10.6,9.1,NA,NA,NA,NA,230,NA,230,NA,NA,NA,NA,10.6,9.1,848,728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,2993,NA,NA,80,650,150,NA,12.6,NA,NA,2.9,0.899,NA,NA,529
20.2,25.2,22.3,NA,NA,90,84,110,1745,1680,1687,4922,2975,2004,214,NA,NA,400,NA,NA,NA,133.6,400,NA,NA,133.6,5.7,29.4,25.9,5.7,29.4,25.9,2275,735,2700,750,NA,NA,NA,NA,11.2,9.4,NA,NA,NA,NA,250,NA,250,NA,NA,NA,NA,11.2,9.4,896,752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,2993,NA,NA,80,650,150,NA,12.6,NA,NA,2.9,0.928,NA,NA,530
NA,NA,NA,NA,NA,94.6,82,86,1411,1516,1534,4324,2690,1765,130,NA,NA,340,NA,NA,7000,113.4,340,NA,NA,113.4,4.6,30.9,17,4.6,30.9,17,1575,490,NA,NA,NA,NA,11.1,8.4,NA,NA,NA,NA,NA,NA,250,NA,250,11.1,8.4,577,437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,2998,NA,360,52,NA,NA,NA,10.9,NA,NA,2.12,0.678,NA,NA,531
NA,NA,NA,NA,NA,90.1,84,101,1429,1543,1583,4624,2810,1811,140,NA,NA,184,NA,NA,NA,92.1,184,NA,NA,92.1,7.7,51.6,13.8,7.7,51.6,13.8,1420,550,NA,NA,NA,NA,12.8,9.8,NA,NA,NA,NA,8.8,6.7,235,NA,235,12.8,9.8,768,588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,6.7,528,402,7.3,1997,NA,480,60,NA,NA,NA,11.3,NA,NA,2.2,0.594,NA,NA,532
NA,NA,NA,NA,NA,94.6,82,110,1479,1605,1630,4936,2975,1868,144,NA,NA,252,NA,NA,6800,126.1,252,NA,NA,126.1,6.1,43.1,17.9,6.1,43.1,17.9,1540,660,2000,750,NA,NA,12.5,9.8,NA,NA,NA,NA,NA,NA,250,NA,250,12.5,9.8,850,666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,1998,NA,390,68,NA,NA,NA,12,NA,NA,2.35,0.564,NA,NA,533
NA,NA,NA,NA,NA,88.3,89,98,1479,1612,1640,5238,3210,1902,135,NA,NA,450,NA,NA,7000,102.4,450,NA,NA,102.4,4.1,28.1,15.1,4.1,28.1,15.1,1865,690,2100,750,NA,NA,10.5,7.1,NA,NA,NA,NA,NA,NA,250,NA,250,10.5,7.1,819,554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,4395,NA,515,78,NA,NA,NA,12.5,NA,NA,2.39,0.621,NA,NA,534
