angulo_central_graus,angulo_de_entrada_graus,angulo_de_saida_graus,rampa_maxima_graus,inclinacao_lateral_maxima_graus,curso_do_pistao_mm,diametro_do_cilindro_mm,altura_do_flanco_mm,altura_mm,bitola_dianteira_mm,bitola_traseira_mm,comprimento_mm,distancia_entre_eixos_mm,largura_mm,vao_livre_do_solo_mm,altura_minima_do_solo_mm,travessia_de_agua_mm,potencia_maxima_rpm,rotacao_de_potencia_maxima_rpm,rotacao_de_torque_maximo_rpm,rotacao_maxima_rpm,potencia_especifica_cv,potencia_maxima_cv,potencia_cv,potencia_combinada_cv,potencia_especifica_cv/litro,peso_potencia_kg/cv,peso_torque_kg/kgfm,torque_especifico_kgfm/litro,peso_potencia_kg,peso_torque_kg,torque_especifico_kg,peso_kg,carga_util_kg,reboque_com_freio_kg,reboque_sem_freio_kg,torque_kg,torque_combinado_kg,consumo_rodoviario_gasolina_km/l,consumo_urbano_gasolina_km/l,consumo_rodoviario_diesel_km/l,consumo_urbano_diesel_km/l,consumo_rodoviario_km/l,consumo_urbano_km/l,consumo_rodoviario_alcool_km/l,consumo_urbano_alcool_km/l,velocidade_maxima_km/h,velocidade_maxima_modo_eletrico_km/h,velocidade_maxima_km,consumo_rodoviario_gasolina_km,consumo_urbano_gasolina_km,autonomia_rodoviaria_gasolina_km,autonomia_urbana_gasolina_km,consumo_rodoviario_diesel_km,consumo_urbano_diesel_km,autonomia_rodoviaria_diesel_km,autonomia_urbana_diesel_km,autonomia_km,consumo_eletrico_km,autonomia_eletrica_km,velocidade_maxima_modo_eletrico_km,consumo_rodoviario_km,consumo_urbano_km,autonomia_rodoviaria_km,autonomia_urbana_km,consumo_rodoviario_alcool_km,consumo_urbano_alcool_km,autonomia_rodoviaria_alcool_km,autonomia_urbana_alcool_km,aceleracao_0_100_km_h_s,cilindrada_cm³,cilindrada_unitaria_cm³,porta_malas_litros,tanque_de_combustivel_litros,porta_malas_5_lugares_litros,porta_malas_7_lugares_litros,porta_malas_6_lugares_litros,diametro_minimo_de_giro_m,diametro_de_giro_m,frenagem_0_100_km_h_m,area_frontal_m²,area_frontal_corrigida_m²,capacidade_de_bateria_kWh,consumo_eletrico_kWh,ID
NA,NA,NA,NA,NA,79.5,89,89,1350,NA,NA,5020,2989,1929,NA,NA,NA,558,NA,NA,NA,94,558,NA,NA,94,3.6,31.5,10.6,3.6,31.5,10.6,1990,NA,NA,NA,NA,NA,5.6,2.5,NA,NA,NA,NA,NA,NA,306,NA,306,5.6,2.5,504,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,5935,NA,155,90,NA,NA,NA,12.5,NA,NA,2.21,0.774,NA,NA,20
NA,NA,NA,NA,NA,79.5,89,92,1294,1590,1590,4720,2740,1912,NA,NA,NA,576,NA,NA,NA,97.1,576,NA,NA,97.1,3,27.1,10.8,3,27.1,10.8,1739,331,NA,NA,NA,NA,7,3.5,NA,NA,NA,NA,NA,NA,323,NA,323,7,3.5,546,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,5935,NA,368,78,NA,NA,NA,12.5,NA,NA,2.1,0.777,NA,NA,21
NA,NA,NA,NA,NA,79.5,89,89,1241,1570,1575,4385,2600,1865,NA,NA,NA,517,NA,NA,NA,87.1,517,NA,NA,87.1,3.2,28.9,9.8,3.2,28.9,9.8,1680,150,NA,NA,NA,NA,5.4,2.6,NA,NA,NA,NA,NA,NA,305,NA,305,5.4,2.6,432,208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,5935,NA,180,80,NA,NA,NA,NA,NA,NA,1.97,0.729,NA,NA,22
NA,NA,NA,NA,NA,91,91,96,1255,1570,1560,4380,2600,1865,95,NA,NA,426,NA,NA,NA,90,426,NA,NA,90,3.8,34,10.1,3.8,34,10.1,1630,200,NA,NA,NA,NA,6.1,3.2,NA,NA,NA,NA,NA,NA,290,NA,290,6.1,3.2,488,256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,4735,NA,239,80,NA,NA,NA,11.1,NA,NA,1.99,0.736,NA,NA,23
NA,NA,NA,NA,NA,79.5,89,89,1282,1586,1581,4703,2740,1904,NA,NA,NA,496,NA,NA,NA,83.6,496,NA,NA,83.6,3.6,30.7,9.8,3.6,30.7,9.8,1785,NA,NA,NA,NA,NA,5.7,2.5,NA,NA,NA,NA,NA,NA,299,NA,299,5.7,2.5,445,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,5935,NA,184,78,NA,NA,NA,11.6,NA,NA,2.07,0.766,NA,NA,24
NA,NA,NA,NA,NA,79.5,89,89,1280,1590,1580,4721,2740,1905,NA,NA,NA,517,NA,NA,NA,87.1,517,NA,NA,87.1,3.5,31,9.8,3.5,31,9.8,1800,255,NA,NA,NA,NA,6.7,2.9,NA,NA,NA,NA,NA,NA,293,NA,293,6.7,2.9,523,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,5935,NA,186,78,NA,NA,NA,12,NA,NA,2.07,0.766,NA,NA,25
NA,NA,NA,NA,NA,79.5,89,114,1330,1572,1584,4666,2690,1923,120,NA,NA,466,NA,NA,NA,78.5,466,NA,NA,78.5,3.9,33.2,9.3,3.9,33.2,9.3,1835,340,NA,NA,NA,NA,6.3,2.9,NA,NA,NA,NA,NA,NA,306,NA,306,6.3,2.9,504,232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,5935,NA,226,80,NA,NA,NA,12.8,NA,NA,2.17,0.716,NA,NA,26
NA,NA,NA,NA,NA,83,91,98,1238,1515,1530,4722,2591,1830,120,NA,NA,340,NA,NA,NA,105,340,NA,NA,105,5.1,34.5,15.4,5.1,34.5,15.4,1725,NA,NA,NA,NA,NA,8.4,4.6,NA,NA,NA,NA,NA,NA,265,NA,265,8.4,4.6,748,409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,3239,NA,178,89,NA,NA,NA,13,NA,NA,1.93,0.598,NA,NA,27
NA,12.5,15.3,NA,NA,92.8,82.5,98,1428,1572,1555,4762,2820,1847,NA,NA,NA,204,4500,1450,6700,102.8,204,NA,NA,102.8,8.01,50.2,16.4,8.01,50.2,16.4,1635,505,1900,750,NA,NA,12.2,9.7,NA,NA,NA,NA,NA,NA,210,NA,210,12.2,9.7,708,563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,1984,496,460,58,NA,NA,NA,NA,11.6,NA,2.2,0.55,NA,NA,28
NA,12.2,12.7,NA,NA,92.8,82.5,89,1386,1587,1568,A757,2824,1847,NA,NA,NA,204,4500,1450,6700,102.8,204,NA,NA,102.8,8.14,50.9,16.4,8.14,50.9,16.4,1660,500,1900,750,NA,NA,12.4,9.9,NA,NA,NA,NA,NA,NA,210,NA,210,12.4,9.9,719,574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,1984,496,465,58,NA,NA,NA,NA,11.7,NA,2.16,0.562,NA,NA,29
